08:49,16:39,08:20,17:27,07:26,18:19,07:15,20:13,06:10,21:04,05:26,21:50,05:25,22:03,06:03,21:30,06:52,20:28,07:41,19:18,07:35,17:12,08:26,16:32
08:48,16:40,08:18,17:29,07:24,18:21,07:13,20:15,06:08,21:06,05:26,21:51,05:26,22:03,06:04,21:29,06:54,20:25,07:43,19:16,07:37,17:10,08:28,16:31
08:48,16:41,08:17,17:31,07:21,18:22,07:10,20:16,06:07,21:07,05:25,21:52,05:27,22:02,06:06,21:27,06:56,20:23,07:45,19:13,07:39,17:08,08:29,16:31
08:48,16:42,08:15,17:33,07:19,18:24,07:08,20:18,06:05,21:09,05:24,21:53,05:27,22:02,06:07,21:25,06:57,20:21,07:46,19:11,07:41,17:06,08:30,16:30
08:48,16:43,08:13,17:34,07:17,18:26,07:06,20:20,06:03,21:11,05:23,21:54,05:28,22:01,06:09,21:23,06:59,20:18,07:48,19:09,07:43,17:05,08:31,16:30
08:47,16:45,08:12,17:36,07:15,18:28,07:03,20:21,06:01,21:12,05:23,21:55,05:29,22:01,06:10,21:22,07:00,20:16,07:50,19:06,07:44,17:03,08:33,16:29
08:47,16:46,08:10,17:38,07:12,18:29,07:01,20:23,05:59,21:14,05:22,21:56,05:30,22:00,06:12,21:20,07:02,20:14,07:51,19:04,07:46,17:01,08:34,16:29
08:46,16:47,08:08,17:40,07:10,18:31,06:59,20:25,05:58,21:15,05:22,21:56,05:31,21:59,06:13,21:18,07:04,20:12,07:53,19:02,07:48,16:59,08:35,16:29
08:46,16:49,08:06,17:42,07:08,18:33,06:57,20:26,05:56,21:17,05:21,21:57,05:32,21:59,06:15,21:16,07:05,20:09,07:55,19:00,07:50,16:58,08:36,16:28
08:45,16:50,08:05,17:44,07:06,18:35,06:54,20:28,05:54,21:19,05:21,21:58,05:33,21:58,06:17,21:14,07:07,20:07,07:57,18:57,07:52,16:56,08:37,16:28
08:44,16:51,08:03,17:46,07:03,18:37,06:52,20:30,05:53,21:20,05:21,21:59,05:34,21:57,06:18,21:12,07:09,20:05,07:58,18:55,07:53,16:55,08:38,16:28
08:44,16:53,08:01,17:47,07:01,18:38,06:50,20:32,05:51,21:22,05:20,21:59,05:35,21:56,06:20,21:10,07:10,20:02,08:00,18:53,07:55,16:53,08:39,16:28
08:43,16:54,07:59,17:49,06:59,18:40,06:48,20:33,05:49,21:23,05:20,22:00,05:36,21:55,06:21,21:08,07:12,20:00,08:02,18:51,07:57,16:52,08:40,16:28
08:42,16:56,07:57,17:51,06:56,18:42,06:45,20:35,05:48,21:25,05:20,22:01,05:38,21:54,06:23,21:06,07:13,19:58,08:03,18:48,07:59,16:50,08:41,16:28
08:41,16:57,07:55,17:53,06:54,18:44,06:43,20:37,05:46,21:27,05:20,22:01,05:39,21:53,06:25,21:04,07:15,19:55,08:05,18:46,08:00,16:49,08:42,16:28
08:40,16:59,07:53,17:55,06:52,18:45,06:41,20:38,05:45,21:28,05:20,22:02,05:40,21:52,06:26,21:02,07:17,19:53,08:07,18:44,08:02,16:47,08:43,16:28
08:40,17:01,07:51,17:57,06:50,18:47,06:39,20:40,05:43,21:30,05:20,22:02,05:41,21:51,06:28,21:00,07:18,19:51,08:09,18:42,08:04,16:46,08:44,16:29
08:39,17:02,07:49,17:59,06:47,18:49,06:37,20:42,05:42,21:31,05:20,22:03,05:43,21:50,06:30,20:58,07:20,19:48,08:10,18:40,08:06,16:45,08:44,16:29
08:37,17:04,07:47,18:00,06:45,18:50,06:35,20:44,05:40,21:33,05:20,22:03,05:44,21:49,06:31,20:56,07:22,19:46,08:12,18:38,08:07,16:44,08:45,16:29
08:36,17:06,07:45,18:02,06:43,18:52,06:33,20:45,05:39,21:34,05:20,22:03,05:45,21:48,06:33,20:54,07:23,19:44,08:14,18:36,08:09,16:42,08:46,16:30
08:35,17:07,07:43,18:04,06:40,18:54,06:30,20:47,05:38,21:35,05:20,22:03,05:46,21:46,06:34,20:52,07:25,19:41,08:16,18:33,08:11,16:41,08:46,16:30
08:34,17:09,07:41,18:06,06:38,18:56,06:28,20:49,05:37,21:37,05:21,22:04,05:48,21:45,06:36,20:50,07:26,19:39,08:17,18:31,08:12,16:40,08:47,16:30
08:33,17:11,07:39,18:08,06:36,18:57,06:26,20:50,05:35,21:38,05:21,22:04,05:49,21:44,06:38,20:48,07:28,19:36,08:19,18:29,08:14,16:39,08:47,16:31
08:32,17:13,07:37,18:10,06:33,18:59,06:24,20:52,05:34,21:40,05:21,22:04,05:51,21:42,06:39,20:45,07:30,19:34,08:21,18:27,08:15,16:38,08:48,16:32
08:30,17:14,07:34,18:11,06:31,19:01,06:22,20:54,05:33,21:41,05:22,22:04,05:52,21:41,06:41,20:43,07:31,19:32,08:23,18:25,08:17,16:37,08:48,16:32
08:29,17:16,07:32,18:13,06:29,19:03,06:20,20:55,05:32,21:42,05:22,22:04,05:54,21:40,06:43,20:41,07:33,19:29,08:25,18:23,08:19,16:36,08:48,16:33
08:28,17:18,07:30,18:15,07:26,20:04,06:18,20:57,05:31,21:44,05:23,22:04,05:55,21:38,06:44,20:39,07:35,19:27,08:26,18:21,08:20,16:35,08:48,16:34
08:26,17:20,07:28,18:17,07:24,20:06,06:16,20:59,05:30,21:45,05:23,22:04,05:56,21:37,06:46,20:37,07:36,19:25,08:28,18:19,08:22,16:34,08:49,16:35
08:25,17:22,00:00,00:00,07:22,20:08,06:14,21:01,05:29,21:46,05:24,22:03,05:58,21:35,06:47,20:34,07:38,19:22,08:30,18:17,08:23,16:33,08:49,16:36
08:23,17:23,00:00,00:00,07:19,20:09,06:12,21:02,05:28,21:47,05:24,22:03,05:59,21:33,06:49,20:32,07:40,19:20,07:32,17:16,08:25,16:33,08:49,16:36
08:22,17:25,00:00,00:00,07:17,20:11,00:00,00:00,05:27,21:48,00:00,00:00,06:01,21:32,06:51,20:30,00:00,00:00,07:34,17:14,00:00,00:00,08:49,16:37